Venue Category,Main Category,level
Mediterranean Restaurant,Food,0
Botanero,Food,0
Botanero,Mexican Restaurant,1
Burrito Place,Food,0
Burrito Place,Mexican Restaurant,1
Taco Place,Food,0
Taco Place,Mexican Restaurant,1
Tex-Mex Restaurant,Food,0
Tex-Mex Restaurant,Mexican Restaurant,1
Yucatecan Restaurant,Food,0
Yucatecan Restaurant,Mexican Restaurant,1
Mexican Restaurant,Food,0
Egyptian Restaurant,Food,0
Egyptian Restaurant,Middle Eastern Restaurant,1
Iraqi Restaurant,Food,0
Iraqi Restaurant,Middle Eastern Restaurant,1
Israeli Restaurant,Food,0
Israeli Restaurant,Middle Eastern Restaurant,1
Kurdish Restaurant,Food,0
Kurdish Restaurant,Middle Eastern Restaurant,1
Lebanese Restaurant,Food,0
Lebanese Restaurant,Middle Eastern Restaurant,1
Ash and Haleem Place,Food,0
Ash and Haleem Place,Middle Eastern Restaurant,1
Ash and Haleem Place,Persian Restaurant,2
Dizi Place,Food,0
Dizi Place,Middle Eastern Restaurant,1
Dizi Place,Persian Restaurant,2
Gilaki Restaurant,Food,0
Gilaki Restaurant,Middle Eastern Restaurant,1
Gilaki Restaurant,Persian Restaurant,2
Jegaraki,Food,0
Jegaraki,Middle Eastern Restaurant,1
Jegaraki,Persian Restaurant,2
Tabbakhi,Food,0
Tabbakhi,Middle Eastern Restaurant,1
Tabbakhi,Persian Restaurant,2
Persian Restaurant,Food,0
Persian Restaurant,Middle Eastern Restaurant,1
Shawarma Place,Food,0
Shawarma Place,Middle Eastern Restaurant,1
Syrian Restaurant,Food,0
Syrian Restaurant,Middle Eastern Restaurant,1
Yemeni Restaurant,Food,0
Yemeni Restaurant,Middle Eastern Restaurant,1
Middle Eastern Restaurant,Food,0
Modern European Restaurant,Food,0
Molecular Gastronomy Restaurant,Food,0
Pakistani Restaurant,Food,0
Pet Café,Food,0
Pizza Place,Food,0
Polish Restaurant,Food,0
Portuguese Restaurant,Food,0
Poutine Place,Food,0
Restaurant,Food,0
Blini House,Food,0
Blini House,Russian Restaurant,1
Pelmeni House,Food,0
Pelmeni House,Russian Restaurant,1
Russian Restaurant,Food,0
Salad Place,Food,0
Sandwich Place,Food,0
Scandinavian Restaurant,Food,0
Scottish Restaurant,Food,0
Seafood Restaurant,Food,0
Slovak Restaurant,Food,0
Snack Place,Food,0
Soup Place,Food,0
Southern / Soul Food Restaurant,Food,0
Paella Restaurant,Food,0
Paella Restaurant,Spanish Restaurant,1
Tapas Restaurant,Food,0
Tapas Restaurant,Spanish Restaurant,1
Spanish Restaurant,Food,0
Sri Lankan Restaurant,Food,0
Steakhouse,Food,0
Swiss Restaurant,Food,0
Tea Room,Food,0
Theme Restaurant,Food,0
Truck Stop,Food,0
Borek Place,Food,0
Borek Place,Turkish Restaurant,1
Cigkofte Place,Food,0
Cigkofte Place,Turkish Restaurant,1
Doner Restaurant,Food,0
Doner Restaurant,Turkish Restaurant,1
Gozleme Place,Food,0
Gozleme Place,Turkish Restaurant,1
Kofte Place,Food,0
Kofte Place,Turkish Restaurant,1
Kokoreç Restaurant,Food,0
Kokoreç Restaurant,Turkish Restaurant,1
Kumpir Restaurant,Food,0
Kumpir Restaurant,Turkish Restaurant,1
Kumru Restaurant,Food,0
Kumru Restaurant,Turkish Restaurant,1
Manti Place,Food,0
Manti Place,Turkish Restaurant,1
Meyhane,Food,0
Meyhane,Turkish Restaurant,1
Pide Place,Food,0
Pide Place,Turkish Restaurant,1
Pilavcı,Food,0
Pilavcı,Turkish Restaurant,1
Söğüş Place,Food,0
Söğüş Place,Turkish Restaurant,1
Tantuni Restaurant,Food,0
Tantuni Restaurant,Turkish Restaurant,1
Turkish Coffeehouse,Food,0
Turkish Coffeehouse,Turkish Restaurant,1
Turkish Home Cooking Restaurant,Food,0
Turkish Home Cooking Restaurant,Turkish Restaurant,1
Çöp Şiş Place,Food,0
Çöp Şiş Place,Turkish Restaurant,1
Turkish Restaurant,Food,0
Varenyky restaurant,Food,0
Varenyky restaurant,Ukrainian Restaurant,1
West-Ukrainian Restaurant,Food,0
West-Ukrainian Restaurant,Ukrainian Restaurant,1
Ukrainian Restaurant,Food,0
Vegetarian / Vegan Restaurant,Food,0
Wings Joint,Food,0
Beach Bar,Nightlife Spot,0
Beach Bar,Bar,1
Beer Bar,Nightlife Spot,0
Beer Bar,Bar,1
Beer Garden,Nightlife Spot,0
Beer Garden,Bar,1
Champagne Bar,Nightlife Spot,0
Champagne Bar,Bar,1
Cocktail Bar,Nightlife Spot,0
Cocktail Bar,Bar,1
Dive Bar,Nightlife Spot,0
Dive Bar,Bar,1
Gay Bar,Nightlife Spot,0
Gay Bar,Bar,1
Hookah Bar,Nightlife Spot,0
Hookah Bar,Bar,1
Hotel Bar,Nightlife Spot,0
Hotel Bar,Bar,1
Karaoke Bar,Nightlife Spot,0
Karaoke Bar,Bar,1
Pub,Nightlife Spot,0
Pub,Bar,1
Sake Bar,Nightlife Spot,0
Sake Bar,Bar,1
Speakeasy,Nightlife Spot,0
Speakeasy,Bar,1
Sports Bar,Nightlife Spot,0
Sports Bar,Bar,1
Tiki Bar,Nightlife Spot,0
Tiki Bar,Bar,1
Whisky Bar,Nightlife Spot,0
Whisky Bar,Bar,1
Wine Bar,Nightlife Spot,0
Wine Bar,Bar,1
Bar,Nightlife Spot,0
Brewery,Nightlife Spot,0
Lounge,Nightlife Spot,0
Night Market,Nightlife Spot,0
Nightclub,Nightlife Spot,0
Other Nightlife,Nightlife Spot,0
Strip Club,Nightlife Spot,0
Badminton Court,Outdoors & Recreation,0
Badminton Court,Athletics & Sports,1
Baseball Field,Outdoors & Recreation,0
Baseball Field,Athletics & Sports,1
Basketball Court,Outdoors & Recreation,0
Basketball Court,Athletics & Sports,1
Bowling Green,Outdoors & Recreation,0
Bowling Green,Athletics & Sports,1
Curling Ice,Outdoors & Recreation,0
Curling Ice,Athletics & Sports,1
Golf Course,Outdoors & Recreation,0
Golf Course,Athletics & Sports,1
Golf Driving Range,Outdoors & Recreation,0
Golf Driving Range,Athletics & Sports,1
Boxing Gym,Outdoors & Recreation,0
Boxing Gym,Athletics & Sports,1
Boxing Gym,Gym / Fitness Center,2
Climbing Gym,Outdoors & Recreation,0
Climbing Gym,Athletics & Sports,1
Climbing Gym,Gym / Fitness Center,2
Cycle Studio,Outdoors & Recreation,0
Cycle Studio,Athletics & Sports,1
Cycle Studio,Gym / Fitness Center,2
Gym Pool,Outdoors & Recreation,0
Gym Pool,Athletics & Sports,1
Gym Pool,Gym / Fitness Center,2
Gymnastics Gym,Outdoors & Recreation,0
Gymnastics Gym,Athletics & Sports,1
Gymnastics Gym,Gym / Fitness Center,2
Gym,Outdoors & Recreation,0
Gym,Athletics & Sports,1
Gym,Gym / Fitness Center,2
Martial Arts Dojo,Outdoors & Recreation,0
Martial Arts Dojo,Athletics & Sports,1
Martial Arts Dojo,Gym / Fitness Center,2
Outdoor Gym,Outdoors & Recreation,0
Outdoor Gym,Athletics & Sports,1
Outdoor Gym,Gym / Fitness Center,2
Pilates Studio,Outdoors & Recreation,0
Pilates Studio,Athletics & Sports,1
Pilates Studio,Gym / Fitness Center,2
Track,Outdoors & Recreation,0
Track,Athletics & Sports,1
Track,Gym / Fitness Center,2
Weight Loss Center,Outdoors & Recreation,0
Weight Loss Center,Athletics & Sports,1
Weight Loss Center,Gym / Fitness Center,2
Yoga Studio,Outdoors & Recreation,0
Yoga Studio,Athletics & Sports,1
Yoga Studio,Gym / Fitness Center,2
Gym / Fitness Center,Outdoors & Recreation,0
Gym / Fitness Center,Athletics & Sports,1
Hockey Field,Outdoors & Recreation,0
Hockey Field,Athletics & Sports,1
Hockey Rink,Outdoors & Recreation,0
Hockey Rink,Athletics & Sports,1
Paintball Field,Outdoors & Recreation,0
Paintball Field,Athletics & Sports,1
Rugby Pitch,Outdoors & Recreation,0
Rugby Pitch,Athletics & Sports,1
Skate Park,Outdoors & Recreation,0
Skate Park,Athletics & Sports,1
Skating Rink,Outdoors & Recreation,0
Skating Rink,Athletics & Sports,1
Soccer Field,Outdoors & Recreation,0
Soccer Field,Athletics & Sports,1
Sports Club,Outdoors & Recreation,0
Sports Club,Athletics & Sports,1
Squash Court,Outdoors & Recreation,0
Squash Court,Athletics & Sports,1
Tennis Court,Outdoors & Recreation,0
Tennis Court,Athletics & Sports,1
Volleyball Court,Outdoors & Recreation,0
Volleyball Court,Athletics & Sports,1
Athletics & Sports,Outdoors & Recreation,0
Bathing Area,Outdoors & Recreation,0
Bay,Outdoors & Recreation,0
Nudist Beach,Outdoors & Recreation,0
Nudist Beach,Beach,1
Surf Spot,Outdoors & Recreation,0
Surf Spot,Beach,1
Beach,Outdoors & Recreation,0
Bike Trail,Outdoors & Recreation,0
Botanical Garden,Outdoors & Recreation,0
Bridge,Outdoors & Recreation,0
Campground,Outdoors & Recreation,0
Canal Lock,Outdoors & Recreation,0
Canal,Outdoors & Recreation,0
Castle,Outdoors & Recreation,0
Cave,Outdoors & Recreation,0
Cemetery,Outdoors & Recreation,0
Dive Spot,Outdoors & Recreation,0
Dog Run,Outdoors & Recreation,0
Farm,Outdoors & Recreation,0
Field,Outdoors & Recreation,0
Fishing Spot,Outdoors & Recreation,0
Forest,Outdoors & Recreation,0
Fountain,Outdoors & Recreation,0
Garden,Outdoors & Recreation,0
Gun Range,Outdoors & Recreation,0
Harbor / Marina,Outdoors & Recreation,0
Hill,Outdoors & Recreation,0
Hot Spring,Outdoors & Recreation,0
Indoor Play Area,Outdoors & Recreation,0
Island,Outdoors & Recreation,0
Lake,Outdoors & Recreation,0
Lighthouse,Outdoors & Recreation,0
Mountain Hut,Outdoors & Recreation,0
Mountain,Outdoors & Recreation,0
National Park,Outdoors & Recreation,0
Nature Preserve,Outdoors & Recreation,0
Other Great Outdoors,Outdoors & Recreation,0
Palace,Outdoors & Recreation,0
Park,Outdoors & Recreation,0
Pedestrian Plaza,Outdoors & Recreation,0
Playground,Outdoors & Recreation,0
Plaza,Outdoors & Recreation,0
Pool,Outdoors & Recreation,0
Rafting,Outdoors & Recreation,0
Recreation Center,Outdoors & Recreation,0
Reservoir,Outdoors & Recreation,0
River,Outdoors & Recreation,0
Rock Climbing Spot,Outdoors & Recreation,0
Roof Deck,Outdoors & Recreation,0
Scenic Lookout,Outdoors & Recreation,0
Sculpture Garden,Outdoors & Recreation,0
Apres Ski Bar,Outdoors & Recreation,0
Apres Ski Bar,Ski Area,1
Ski Chairlift,Outdoors & Recreation,0
Ski Chairlift,Ski Area,1
Ski Chalet,Outdoors & Recreation,0
Ski Chalet,Ski Area,1
Ski Lodge,Outdoors & Recreation,0
Ski Lodge,Ski Area,1
Ski Trail,Outdoors & Recreation,0
Ski Trail,Ski Area,1
Ski Area,Outdoors & Recreation,0
Skydiving Drop Zone,Outdoors & Recreation,0
Stables,Outdoors & Recreation,0
State / Provincial Park,Outdoors & Recreation,0
City,Outdoors & Recreation,0
City,States & Municipalities,1
County,Outdoors & Recreation,0
County,States & Municipalities,1
Country,Outdoors & Recreation,0
Country,States & Municipalities,1
Neighborhood,Outdoors & Recreation,0
Neighborhood,States & Municipalities,1
State,Outdoors & Recreation,0
State,States & Municipalities,1
Town,Outdoors & Recreation,0
Town,States & Municipalities,1
Village,Outdoors & Recreation,0
Village,States & Municipalities,1
States & Municipalities,Outdoors & Recreation,0
Summer Camp,Outdoors & Recreation,0
Trail,Outdoors & Recreation,0
Tree,Outdoors & Recreation,0
Vineyard,Outdoors & Recreation,0
Volcano,Outdoors & Recreation,0
Waterfall,Outdoors & Recreation,0
Waterfront,Outdoors & Recreation,0
Well,Outdoors & Recreation,0
Windmill,Outdoors & Recreation,0
Animal Shelter,Professional & Other Places,0
Art Studio,Professional & Other Places,0
Auditorium,Professional & Other Places,0
Ballroom,Professional & Other Places,0
Building,Professional & Other Places,0
Business Center,Professional & Other Places,0
Club House,Professional & Other Places,0
Community Center,Professional & Other Places,0
Meeting Room,Professional & Other Places,0
Meeting Room,Convention Center,1
Convention Center,Professional & Other Places,0
Cultural Center,Professional & Other Places,0
Distillery,Professional & Other Places,0
Distribution Center,Professional & Other Places,0
Outdoor Event Space,Professional & Other Places,0
Outdoor Event Space,Event Space,1
Event Space,Professional & Other Places,0
Factory,Professional & Other Places,0
Fair,Professional & Other Places,0
Funeral Home,Professional & Other Places,0
Capitol Building,Professional & Other Places,0
Capitol Building,Government Building,1
City Hall,Professional & Other Places,0
City Hall,Government Building,1
Courthouse,Professional & Other Places,0
Courthouse,Government Building,1
Embassy / Consulate,Professional & Other Places,0
Embassy / Consulate,Government Building,1
Fire Station,Professional & Other Places,0
Fire Station,Government Building,1
Monument / Landmark,Professional & Other Places,0
Monument / Landmark,Government Building,1
Police Station,Professional & Other Places,0
Police Station,Government Building,1
Town Hall,Professional & Other Places,0
Town Hall,Government Building,1
Government Building,Professional & Other Places,0
Industrial Estate,Professional & Other Places,0
Laboratory,Professional & Other Places,0
Library,Professional & Other Places,0
Acupuncturist,Professional & Other Places,0
Acupuncturist,Medical Center,1
Alternative Healer,Professional & Other Places,0
Alternative Healer,Medical Center,1
Chiropractor,Professional & Other Places,0
Chiropractor,Medical Center,1
Dentist's Office,Professional & Other Places,0
Dentist's Office,Medical Center,1
Doctor's Office,Professional & Other Places,0
Doctor's Office,Medical Center,1
Emergency Room,Professional & Other Places,0
Emergency Room,Medical Center,1
Eye Doctor,Professional & Other Places,0
Eye Doctor,Medical Center,1
Hospital Ward,Professional & Other Places,0
Hospital Ward,Medical Center,1
Hospital Ward,Hospital,2
Hospital,Professional & Other Places,0
Hospital,Medical Center,1
Maternity Clinic,Professional & Other Places,0
Maternity Clinic,Medical Center,1
Medical Lab,Professional & Other Places,0
Medical Lab,Medical Center,1
Mental Health Office,Professional & Other Places,0
Mental Health Office,Medical Center,1
Nutritionist,Professional & Other Places,0
Nutritionist,Medical Center,1
Physical Therapist,Professional & Other Places,0
Physical Therapist,Medical Center,1
Rehab Center,Professional & Other Places,0
Rehab Center,Medical Center,1
Urgent Care Center,Professional & Other Places,0
Urgent Care Center,Medical Center,1
Veterinarian,Professional & Other Places,0
Veterinarian,Medical Center,1
Medical Center,Professional & Other Places,0
Military Base,Professional & Other Places,0
Non-Profit,Professional & Other Places,0
Observatory,Professional & Other Places,0
Advertising Agency,Professional & Other Places,0
Advertising Agency,Office,1
Campaign Office,Professional & Other Places,0
Campaign Office,Office,1
Conference Room,Professional & Other Places,0
Conference Room,Office,1
Corporate Amenity,Professional & Other Places,0
Corporate Amenity,Office,1
Corporate Cafeteria,Professional & Other Places,0
Corporate Cafeteria,Office,1
Corporate Coffee Shop,Professional & Other Places,0
Corporate Coffee Shop,Office,1
Coworking Space,Professional & Other Places,0
Coworking Space,Office,1
Tech Startup,Professional & Other Places,0
Tech Startup,Office,1
Office,Professional & Other Places,0
Parking,Professional & Other Places,0
Post Office,Professional & Other Places,0
Power Plant,Professional & Other Places,0
Prison,Professional & Other Places,0
Radio Station,Professional & Other Places,0
Recruiting Agency,Professional & Other Places,0
Research Station,Professional & Other Places,0
Adult Education Center,Professional & Other Places,0
Adult Education Center,School,1
Circus School,Professional & Other Places,0
Circus School,School,1
Cooking School,Professional & Other Places,0
Cooking School,School,1
Driving School,Professional & Other Places,0
Driving School,School,1
Elementary School,Professional & Other Places,0
Elementary School,School,1
Flight School,Professional & Other Places,0
Flight School,School,1
High School,Professional & Other Places,0
High School,School,1
Language School,Professional & Other Places,0
Language School,School,1
Middle School,Professional & Other Places,0
Middle School,School,1
Music School,Professional & Other Places,0
Music School,School,1
Nursery School,Professional & Other Places,0
Nursery School,School,1
Preschool,Professional & Other Places,0
Preschool,School,1
Private School,Professional & Other Places,0
Private School,School,1
Religious School,Professional & Other Places,0
Religious School,School,1
Swim School,Professional & Other Places,0
Swim School,School,1
School,Professional & Other Places,0
Social Club,Professional & Other Places,0
Buddhist Temple,Professional & Other Places,0
Buddhist Temple,Spiritual Center,1
Cemevi,Professional & Other Places,0
Cemevi,Spiritual Center,1
Church,Professional & Other Places,0
Church,Spiritual Center,1
Confucian Temple,Professional & Other Places,0
Confucian Temple,Spiritual Center,1
Hindu Temple,Professional & Other Places,0
Hindu Temple,Spiritual Center,1
Kingdom Hall,Professional & Other Places,0
Kingdom Hall,Spiritual Center,1
Monastery,Professional & Other Places,0
Monastery,Spiritual Center,1
Mosque,Professional & Other Places,0
Mosque,Spiritual Center,1
Prayer Room,Professional & Other Places,0
Prayer Room,Spiritual Center,1
Shrine,Professional & Other Places,0
Shrine,Spiritual Center,1
Sikh Temple,Professional & Other Places,0
Sikh Temple,Spiritual Center,1
Synagogue,Professional & Other Places,0
Synagogue,Spiritual Center,1
Temple,Professional & Other Places,0
Temple,Spiritual Center,1
Terreiro,Professional & Other Places,0
Terreiro,Spiritual Center,1
Spiritual Center,Professional & Other Places,0
TV Station,Professional & Other Places,0
Voting Booth,Professional & Other Places,0
Warehouse,Professional & Other Places,0
Waste Facility,Professional & Other Places,0
Wedding Hall,Professional & Other Places,0
Winery,Professional & Other Places,0
Assisted Living,Residence,0
Home (private),Residence,0
Housing Development,Residence,0
Residential Building (Apartment / Condo),Residence,0
Trailer Park,Residence,0
ATM,Shop & Service,0
Adult Boutique,Shop & Service,0
Antique Shop,Shop & Service,0
Arts & Crafts Store,Shop & Service,0
Astrologer,Shop & Service,0
Auto Dealership,Shop & Service,0
Auto Garage,Shop & Service,0
Auto Workshop,Shop & Service,0
Automotive Shop,Shop & Service,0
Baby Store,Shop & Service,0
Bank,Shop & Service,0
Bath House,Shop & Service,0
Batik Shop,Shop & Service,0
Betting Shop,Shop & Service,0
Big Box Store,Shop & Service,0
Bike Shop,Shop & Service,0
Board Shop,Shop & Service,0
Bookstore,Shop & Service,0
Bridal Shop,Shop & Service,0
Business Service,Shop & Service,0
Camera Store,Shop & Service,0
Candy Store,Shop & Service,0
Car Wash,Shop & Service,0
Carpet Store,Shop & Service,0
Check Cashing Service,Shop & Service,0
Daycare,Shop & Service,0
Daycare,Child Care Service,1
Child Care Service,Shop & Service,0
Chocolate Shop,Shop & Service,0
Accessories Store,Shop & Service,0
Accessories Store,Clothing Store,1
Boutique,Shop & Service,0
Boutique,Clothing Store,1
Kids Store,Shop & Service,0
Kids Store,Clothing Store,1
Lingerie Store,Shop & Service,0
Lingerie Store,Clothing Store,1
Men's Store,Shop & Service,0
Men's Store,Clothing Store,1
Shoe Store,Shop & Service,0
Shoe Store,Clothing Store,1
Women's Store,Shop & Service,0
Women's Store,Clothing Store,1
Clothing Store,Shop & Service,0
Comic Shop,Shop & Service,0
Construction & Landscaping,Shop & Service,0
Convenience Store,Shop & Service,0
Cosmetics Shop,Shop & Service,0
Costume Shop,Shop & Service,0
Credit Union,Shop & Service,0
Currency Exchange,Shop & Service,0
Department Store,Shop & Service,0
Design Studio,Shop & Service,0
Discount Store,Shop & Service,0
Dive Shop,Shop & Service,0
Drugstore,Shop & Service,0
Dry Cleaner,Shop & Service,0
EV Charging Station,Shop & Service,0
Electronics Store,Shop & Service,0
Entertainment Service,Shop & Service,0
Event Service,Shop & Service,0
Fabric Shop,Shop & Service,0
Film Studio,Shop & Service,0
Financial or Legal Service,Shop & Service,0
Fireworks Store,Shop & Service,0
Fishing Store,Shop & Service,0
Flea Market,Shop & Service,0
Floating Market,Shop & Service,0
Flower Shop,Shop & Service,0
Beer Store,Shop & Service,0
Beer Store,Food & Drink Shop,1
Butcher,Shop & Service,0
Butcher,Food & Drink Shop,1
Cheese Shop,Shop & Service,0
Cheese Shop,Food & Drink Shop,1
Dairy Store,Shop & Service,0
Dairy Store,Food & Drink Shop,1
Farmers Market,Shop & Service,0
Farmers Market,Food & Drink Shop,1
Fish Market,Shop & Service,0
Fish Market,Food & Drink Shop,1
Food Service,Shop & Service,0
Food Service,Food & Drink Shop,1
Gourmet Shop,Shop & Service,0
Gourmet Shop,Food & Drink Shop,1
Grocery Store,Shop & Service,0
Grocery Store,Food & Drink Shop,1
Health Food Store,Shop & Service,0
Health Food Store,Food & Drink Shop,1
Kuruyemişçi,Shop & Service,0
Kuruyemişçi,Food & Drink Shop,1
Liquor Store,Shop & Service,0
Liquor Store,Food & Drink Shop,1
Organic Grocery,Shop & Service,0
Organic Grocery,Food & Drink Shop,1
Sausage Shop,Shop & Service,0
Sausage Shop,Food & Drink Shop,1
Street Food Gathering,Shop & Service,0
Street Food Gathering,Food & Drink Shop,1
Supermarket,Shop & Service,0
Supermarket,Food & Drink Shop,1
Turşucu,Shop & Service,0
Turşucu,Food & Drink Shop,1
Wine Shop,Shop & Service,0
Wine Shop,Food & Drink Shop,1
Food & Drink Shop,Shop & Service,0
Frame Store,Shop & Service,0
Fruit & Vegetable Store,Shop & Service,0
Lighting Store,Shop & Service,0
Lighting Store,Furniture / Home Store,1
Furniture / Home Store,Shop & Service,0
Gaming Cafe,Shop & Service,0
Garden Center,Shop & Service,0
Gas Station,Shop & Service,0
Gift Shop,Shop & Service,0
Gun Shop,Shop & Service,0
Hardware Store,Shop & Service,0
Health & Beauty Service,Shop & Service,0
Herbs & Spices Store,Shop & Service,0
Hobby Shop,Shop & Service,0
Home Service,Shop & Service,0
Hunting Supply,Shop & Service,0
IT Services,Shop & Service,0
Insurance Office,Shop & Service,0
Internet Cafe,Shop & Service,0
Jewelry Store,Shop & Service,0
Kitchen Supply Store,Shop & Service,0
Knitting Store,Shop & Service,0
Laundromat,Shop & Service,0
Laundry Service,Shop & Service,0
Lawyer,Shop & Service,0
Leather Goods Store,Shop & Service,0
Locksmith,Shop & Service,0
Lottery Retailer,Shop & Service,0
Luggage Store,Shop & Service,0
Marijuana Dispensary,Shop & Service,0
Market,Shop & Service,0
Massage Studio,Shop & Service,0
Mattress Store,Shop & Service,0
Medical Supply Store,Shop & Service,0
Miscellaneous Shop,Shop & Service,0
Mobile Phone Shop,Shop & Service,0
Mobility Store,Shop & Service,0
Motorcycle Shop,Shop & Service,0
Motorsports Shop,Shop & Service,0
Music Store,Shop & Service,0
Nail Salon,Shop & Service,0
Newsstand,Shop & Service,0
Notary,Shop & Service,0
Optical Shop,Shop & Service,0
Other Repair Shop,Shop & Service,0
Outdoor Supply Store,Shop & Service,0
Outlet Mall,Shop & Service,0
Outlet Store,Shop & Service,0
Paper / Office Supplies Store,Shop & Service,0
Pawn Shop,Shop & Service,0
Perfume Shop,Shop & Service,0
Pet Service,Shop & Service,0
Pet Store,Shop & Service,0
Pharmacy,Shop & Service,0
Photography Lab,Shop & Service,0
Photography Studio,Shop & Service,0
Piercing Parlor,Shop & Service,0
Pop-Up Shop,Shop & Service,0
Print Shop,Shop & Service,0
Public Bathroom,Shop & Service,0
Real Estate Office,Shop & Service,0
Record Shop,Shop & Service,0
Recording Studio,Shop & Service,0
Recycling Facility,Shop & Service,0
Rental Service,Shop & Service,0
Salon / Barbershop,Shop & Service,0
Sauna / Steam Room,Shop & Service,0
Shipping Store,Shop & Service,0
Shoe Repair,Shop & Service,0
Shopping Mall,Shop & Service,0
Shopping Plaza,Shop & Service,0
Skate Shop,Shop & Service,0
Ski Shop,Shop & Service,0
Smoke Shop,Shop & Service,0
Smoothie Shop,Shop & Service,0
Souvenir Shop,Shop & Service,0
Spa,Shop & Service,0
Sporting Goods Shop,Shop & Service,0
Stationery Store,Shop & Service,0
Storage Facility,Shop & Service,0
Supplement Shop,Shop & Service,0
Tailor Shop,Shop & Service,0
Tanning Salon,Shop & Service,0
Tattoo Parlor,Shop & Service,0
Thrift / Vintage Store,Shop & Service,0
Toy / Game Store,Shop & Service,0
Travel Agency,Shop & Service,0
Used Bookstore,Shop & Service,0
Vape Store,Shop & Service,0
Video Game Store,Shop & Service,0
Video Store,Shop & Service,0
Warehouse Store,Shop & Service,0
Watch Shop,Shop & Service,0
Airport Food Court,Travel & Transport,0
Airport Food Court,Airport,1
Airport Gate,Travel & Transport,0
Airport Gate,Airport,1
Airport Lounge,Travel & Transport,0
Airport Lounge,Airport,1
Airport Service,Travel & Transport,0
Airport Service,Airport,1
Airport Terminal,Travel & Transport,0
Airport Terminal,Airport,1
Airport Tram,Travel & Transport,0
Airport Tram,Airport,1
Baggage Claim,Travel & Transport,0
Baggage Claim,Airport,1
Plane,Travel & Transport,0
Plane,Airport,1
Airport,Travel & Transport,0
Baggage Locker,Travel & Transport,0
Bike Rental / Bike Share,Travel & Transport,0
Boat Rental,Travel & Transport,0
Boat or Ferry,Travel & Transport,0
Border Crossing,Travel & Transport,0
Bus Line,Travel & Transport,0
Bus Line,Bus Station,1
Bus Station,Travel & Transport,0
Bus Stop,Travel & Transport,0
Cable Car,Travel & Transport,0
Cruise,Travel & Transport,0
Duty-free Shop,Travel & Transport,0
General Travel,Travel & Transport,0
Heliport,Travel & Transport,0
Bed & Breakfast,Travel & Transport,0
Bed & Breakfast,Hotel,1
Boarding House,Travel & Transport,0
Boarding House,Hotel,1
Hostel,Travel & Transport,0
Hostel,Hotel,1
Hotel Pool,Travel & Transport,0
Hotel Pool,Hotel,1
Inn,Travel & Transport,0
Inn,Hotel,1
Motel,Travel & Transport,0
Motel,Hotel,1
Resort,Travel & Transport,0
Resort,Hotel,1
Vacation Rental,Travel & Transport,0
Vacation Rental,Hotel,1
Hotel,Travel & Transport,0
Intersection,Travel & Transport,0
Light Rail Station,Travel & Transport,0
Metro Station,Travel & Transport,0
Moving Target,Travel & Transport,0
Pier,Travel & Transport,0
Port,Travel & Transport,0
RV Park,Travel & Transport,0
Rental Car Location,Travel & Transport,0
Rest Area,Travel & Transport,0
Road,Travel & Transport,0
Taxi Stand,Travel & Transport,0
Taxi,Travel & Transport,0
Toll Booth,Travel & Transport,0
Toll Plaza,Travel & Transport,0
Tourist Information Center,Travel & Transport,0
Platform,Travel & Transport,0
Platform,Train Station,1
Train,Travel & Transport,0
Train,Train Station,1
Train Station,Travel & Transport,0
Tram Station,Travel & Transport,0
Transportation Service,Travel & Transport,0
Travel Lounge,Travel & Transport,0
Tunnel,Travel & Transport,0
